Student_ID,Age,Gender,Nationality,Program,Major_Specialization,Year_of_Study,Enrollment_Type,GPA,High_School_GPA,SAT_Score,Credits_Completed,Credits_This_Semester,Scholarship_Status,Scholarship_Amount,Accommodation_Type,Distance_From_Campus_km,Attendance_Rate,Study_Hours_Per_Week,Part_Time_Job,Weekly_Work_Hours,Internship_Completed,Internship_Count,Clubs_Joined,Leadership_Role,Online_Courses_Taken,Research_Participation,Publications_Count,Exchange_Program,English_Proficiency_Score,Financial_Aid,Family_Income,Parental_Education_Level,Health_Insurance,Mental_Health_Support_Used,Academic_Probation,Dropout_Risk_Score,Graduation_Expected_Year,Employment_Offer,Starting_Salary_Offer
1,30,Female,Canada,Mathematics,Cybersecurity,5,FullTime,2.99,3.53,,104,13,Yes,46507,OffCampus,,,,Yes,1,Yes,3,6,Yes,4,Yes,1,Yes,108.0,No,126717.0,PhD,Yes,No,No,1.0,2027,No,0
2,19,Male,Canada,AI,Finance,2,FullTime,3.37,3.43,1257,31,18,Yes,,OffCampus,30.9,,44,Yes,18,No,3,6,Yes,12,No,1,No,60.0,No,215708.0,Master,No,No,No,0.565,2028,Yes,45143
3,19,Female,UK,Physics,Marketing,2,PartTime,3.34,3.07,1387,33,9,No,0,WithFamily,11.7,75.8,17,Yes,17,No,2,1,No,9,Yes,1,Yes,92.0,No,68245.0,HighSchool,No,No,No,0.67,2026,No,0
4,23,Male,Australia,Economics,Cybersecurity,1,FullTime,2.55,4.0,1585,132,19,No,0,OffCampus,39.5,78.2,35,Yes,9,Yes,0,1,Yes,3,Yes,0,Yes,110.0,No,110478.0,PhD,Yes,No,No,0.352,2026,Yes,34040
5,34,Male,UAE,Computer Science,Robotics,5,PartTime,2.94,3.22,1246,16,11,Yes,44363,OnCampus,47.0,88.7,8,No,23,No,4,0,Yes,9,Yes,0,Yes,99.0,Yes,292894.0,HighSchool,No,No,No,0.662,2029,Yes,36345
6,27,Male,Canada,Physics,Finance,4,PartTime,2.02,3.19,,136,19,No,0,WithFamily,46.9,80.4,19,No,0,Yes,3,1,No,5,No,2,No,96.0,Yes,136059.0,HighSchool,No,No,No,0.282,2032,No,
7,18,Female,India,Physics,Robotics,5,FullTime,2.89,3.75,1216,61,15,No,0,WithFamily,27.2,,14,No,11,Yes,2,6,Yes,6,Yes,3,Yes,119.0,Yes,72826.0,HighSchool,No,No,No,0.781,2028,Yes,74854
8,17,Female,France,Engineering,Data Science,5,FullTime,3.21,3.93,1457,155,17,No,0,WithFamily,0.1,82.0,20,Yes,20,Yes,2,0,No,2,No,0,No,,No,251949.0,PhD,No,No,No,0.0,2027,No,0
9,34,Female,India,Computer Science,Marketing,3,FullTime,2.07,3.56,,45,11,Yes,48958,OffCampus,33.4,77.0,47,No,,No,3,1,Yes,8,No,3,Yes,117.0,Yes,124047.0,Master,Yes,No,No,0.873,2031,Yes,144100
10,32,Female,Canada,Computer Science,Civil,1,FullTime,2.98,3.78,1044,36,16,Yes,19641,OffCampus,17.5,69.8,6,Yes,16,Yes,2,4,No,3,Yes,1,Yes,94.0,No,268196.0,HighSchool,No,No,No,0.23,2028,Yes,80930
11,26,Male,USA,Engineering,Statistics,3,FullTime,2.9,2.72,1593,18,12,Yes,33955,OnCampus,9.4,91.2,40,No,27,Yes,3,3,Yes,6,Yes,0,No,84.0,Yes,102907.0,Bachelor,No,No,No,0.869,2033,No,0
12,17,Female,UAE,Engineering,Data Science,4,PartTime,3.62,3.67,905,120,12,Yes,22218,OffCampus,12.1,78.3,32,No,11,Yes,0,3,Yes,11,Yes,0,Yes,84.0,No,42145.0,Master,Yes,No,Yes,0.526,2027,Yes,61983
13,31,Male,Australia,Economics,Statistics,5,FullTime,2.68,2.58,,83,17,No,0,OnCampus,49.1,95.3,24,Yes,27,Yes,0,5,No,6,Yes,2,No,92.0,Yes,,PhD,Yes,No,No,0.63,2033,Yes,140583
14,17,Male,Australia,AI,Civil,4,PartTime,3.11,2.95,1578,169,17,Yes,48802,OnCampus,2.2,89.5,27,No,11,No,2,6,No,9,Yes,0,No,76.0,Yes,50914.0,Bachelor,No,No,No,0.426,2031,No,0
15,32,Female,Canada,Business,Robotics,1,PartTime,3.35,3.15,1001,141,18,Yes,17702,OnCampus,30.5,67.9,15,No,17,No,3,5,No,10,No,0,No,93.0,Yes,34587.0,Master,No,No,Yes,0.142,2026,Yes,2474
16,31,Male,Canada,Engineering,Cybersecurity,5,PartTime,3.54,3.29,1167,177,9,No,0,WithFamily,33.3,74.7,20,Yes,11,No,4,2,Yes,9,Yes,2,Yes,84.0,Yes,42095.0,PhD,Yes,No,Yes,0.924,2031,Yes,13250
17,21,Male,China,AI,Data Science,2,PartTime,2.3,3.42,1137,67,15,Yes,42568,OffCampus,25.5,74.5,33,Yes,1,No,4,6,No,14,Yes,3,Yes,65.0,Yes,223791.0,PhD,No,Yes,No,0.943,2029,No,0
18,17,Female,UK,AI,Robotics,3,PartTime,2.62,2.78,1495,125,12,No,,WithFamily,43.0,78.3,29,Yes,8,Yes,1,1,No,5,No,1,Yes,70.0,No,101086.0,Master,No,No,No,0.104,2029,No,0
19,33,Male,Australia,Computer Science,Marketing,2,PartTime,2.18,4.0,1201,16,13,No,0,OffCampus,,73.7,,No,4,No,1,4,No,7,Yes,1,Yes,82.0,No,148713.0,Bachelor,Yes,No,No,0.852,2029,Yes,46574
20,21,Female,UAE,Economics,Finance,3,PartTime,2.23,3.09,1514,124,17,Yes,6395,WithFamily,41.4,64.6,37,Yes,12,No,2,1,Yes,11,Yes,2,Yes,79.0,No,121731.0,Bachelor,Yes,No,No,0.836,2033,No,0
21,34,Female,UAE,Physics,Data Science,3,PartTime,3.42,2.85,1364,149,17,Yes,8301,OnCampus,34.0,64.8,8,Yes,1,Yes,2,4,Yes,0,Yes,3,Yes,75.0,No,206636.0,PhD,No,No,No,0.926,2032,No,0
22,20,Male,China,Physics,Civil,4,FullTime,3.27,3.59,1223,113,14,No,0,OnCampus,45.0,92.8,36,No,19,No,1,0,Yes,14,Yes,0,No,65.0,Yes,205254.0,Master,Yes,No,Yes,0.787,2031,Yes,
23,19,Female,Germany,Engineering,Cybersecurity,5,FullTime,2.57,3.37,1203,22,19,Yes,48250,OnCampus,1.6,97.8,27,Yes,1,Yes,0,5,No,12,No,0,Yes,96.0,Yes,64439.0,HighSchool,No,No,No,0.983,2030,Yes,3114
24,24,Male,Germany,Economics,Robotics,5,PartTime,3.85,,962,61,14,No,0,OffCampus,20.9,75.9,41,Yes,,No,0,0,Yes,3,No,3,No,117.0,No,273886.0,HighSchool,No,No,No,0.999,2027,Yes,44366
25,19,Male,Brazil,Mathematics,Civil,5,PartTime,2.91,3.57,1421,63,10,Yes,13630,WithFamily,26.5,97.9,17,Yes,22,No,0,1,Yes,10,No,2,No,65.0,Yes,297779.0,Bachelor,No,No,No,0.267,2027,Yes,64133
26,32,Female,USA,Business,Finance,5,FullTime,2.59,2.92,1067,80,14,No,0,OffCampus,3.7,66.3,,No,19,Yes,3,5,No,8,No,2,No,93.0,No,249226.0,Master,No,No,No,0.049,2034,Yes,139434
27,33,Female,Canada,Physics,Marketing,3,PartTime,3.94,3.18,1246,85,11,No,0,WithFamily,44.9,76.0,43,Yes,,Yes,3,1,No,9,Yes,1,Yes,102.0,No,232280.0,HighSchool,Yes,No,No,0.652,2033,No,0
28,24,Female,Canada,Business,Robotics,5,PartTime,3.13,2.62,1235,107,20,Yes,42313,OffCampus,9.3,84.5,21,Yes,6,Yes,1,1,Yes,10,Yes,3,Yes,95.0,No,272057.0,PhD,No,No,No,0.369,2032,Yes,79273
29,26,Female,India,Mathematics,Civil,5,PartTime,2.5,3.66,1163,115,14,No,0,WithFamily,22.9,63.5,49,No,12,Yes,4,0,No,0,Yes,3,No,,No,197618.0,PhD,Yes,No,No,0.992,2032,No,0
30,20,Female,Brazil,Engineering,Finance,5,FullTime,3.65,3.6,1395,68,10,No,,OnCampus,32.6,58.8,27,No,5,Yes,4,2,Yes,0,No,0,No,,Yes,268807.0,Master,Yes,No,No,0.624,2027,No,0
31,23,Male,UAE,Computer Science,Finance,4,FullTime,3.96,2.89,1029,127,19,Yes,10637,WithFamily,5.7,82.8,49,Yes,19,No,2,0,No,14,No,1,No,81.0,Yes,,PhD,Yes,No,No,0.355,2029,Yes,90870
32,18,Male,Germany,AI,Cybersecurity,3,PartTime,2.85,3.01,1052,145,19,No,0,OffCampus,20.8,84.0,20,No,23,No,2,4,No,1,No,1,Yes,86.0,No,131661.0,,No,No,Yes,0.341,2027,No,0
33,19,Female,India,Computer Science,Robotics,3,FullTime,3.51,3.98,1569,110,16,Yes,24093,OffCampus,31.1,73.8,39,Yes,16,Yes,2,1,No,8,No,0,No,108.0,No,222448.0,PhD,Yes,No,No,0.372,2030,No,0
34,18,Male,UAE,Mathematics,Cybersecurity,5,PartTime,3.53,3.01,,9,11,Yes,3814,OnCampus,29.7,78.6,6,Yes,16,No,0,7,Yes,6,No,0,Yes,95.0,Yes,,Bachelor,Yes,Yes,No,0.867,2033,No,0
35,29,Male,France,Physics,Civil,2,PartTime,2.88,3.98,1190,148,16,No,0,WithFamily,20.0,70.7,13,Yes,6,No,1,3,Yes,9,No,2,No,61.0,Yes,206810.0,HighSchool,Yes,No,No,0.489,2027,Yes,
36,25,Male,Australia,Business,Data Science,5,FullTime,2.69,3.22,1199,174,13,Yes,6362,OffCampus,6.7,95.3,18,Yes,6,No,3,3,No,11,No,0,Yes,100.0,No,253428.0,PhD,No,No,No,0.338,2028,Yes,42133
37,20,Female,UK,Business,Data Science,1,PartTime,2.52,3.53,1019,141,9,Yes,46586,OnCampus,3.2,100.0,21,Yes,3,No,3,3,No,14,No,0,Yes,60.0,No,142097.0,Bachelor,No,No,No,0.083,2029,No,0
38,27,Male,UK,Business,Finance,2,PartTime,2.04,2.76,,77,10,No,0,OnCampus,,,,No,12,Yes,2,3,Yes,14,No,1,Yes,90.0,No,229579.0,Master,No,No,No,0.18,2033,No,0
39,22,Female,Australia,Mathematics,Cybersecurity,4,FullTime,3.26,3.17,977,141,13,Yes,39758,OffCampus,6.8,78.4,35,No,1,Yes,2,5,Yes,12,Yes,2,No,73.0,Yes,238319.0,Bachelor,Yes,No,No,0.513,2034,Yes,44874
40,17,Female,France,Economics,Cybersecurity,4,PartTime,3.43,3.45,1197,73,18,Yes,5927,WithFamily,20.0,96.5,23,No,10,Yes,0,3,Yes,12,Yes,0,No,117.0,No,235018.0,Master,No,No,No,0.44,2034,Yes,70709
41,28,Female,UAE,Economics,Statistics,1,FullTime,2.7,4.0,1245,100,17,Yes,44423,OnCampus,19.6,94.9,32,Yes,,No,2,5,No,10,Yes,1,Yes,85.0,No,186186.0,PhD,No,No,No,0.442,2033,No,0
42,19,Male,India,Economics,Marketing,1,FullTime,2.24,3.55,1218,161,15,Yes,1382,OnCampus,47.6,92.8,9,Yes,18,Yes,4,2,No,3,Yes,1,No,105.0,Yes,81038.0,PhD,No,No,No,0.112,2034,No,0
43,27,Female,Canada,Physics,Cybersecurity,4,FullTime,2.15,3.12,1433,40,18,Yes,903,OnCampus,42.3,68.0,17,Yes,12,No,2,5,No,8,No,3,Yes,,Yes,39537.0,HighSchool,No,Yes,No,0.197,2028,No,0
